Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,9043.36,108520.32,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (8 TB), Additional backup storage (12 TB)"
Increased_Cost Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,5105.36,61264.32,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (8 TB), Additional backup storage (12 TB)"
Increased_Cost Estimate,US East (N. Virginia),S3 Standard,0,47.1,565.2,USD,S3 Standard storage (2 TB per month)
Increased_Cost Estimate,US East (N. Virginia),S3 Intelligent - Tiering,0,47.1,565.2,USD,S3 INT storage (2 TB per month)
Increased_Cost Estimate,US East (N. Virginia),S3 Glacier,0,131.07,1572.84,USD,S3 Glacier storage (32 TB per month)
Increased_Cost Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
Increased_Cost Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,77.22,926.64,USD,Number of NAT Gateways (2)
Increased_Cost Estimate,US East (N. Virginia),Elastic Load Balancing,0,763.95,9167.4,USD,Number of Application Load Balancers (1)
Increased_Cost Estimate,US East (N. Virginia),Amazon EC2,0,3222.53,38670.36,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (256 GB), Instance type (t3.2xlarge)"
Increased_Cost Estimate,US East (N. Virginia),Amazon EC2,0,805.63,9667.56,USD,"Operating system (Linux), Quantity (6), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (128 GB), Instance type (t3.xlarge)"
,,,,,,,
Changes:,,,,,,,
Quantity of Application Server EC2 Instances is increased from 8 to 12,,,,,,,
Instance type of Application Server EC2 Instances is changed from t3.xlarge to t3.2xlarge,,,,,,,
Quantity of Web Server EC2 Instances is increased from 4 to 6,,,,,,,
Instance type of Web Server EC2 Instances is changed from t3.large to t3.xlarge,,,,,,,
Instance type of RDS Master (Multi AZ) and Read-replica Instances are changed from db.m5.4xlarge to db.m5.12xlarge,,,,,,,
Storage amount of RDS Master (Multi AZ) and Read-replica Instances are changed from 4 TB to 8 TB,,,,,,,
Additional backup storage of RDS Read-replica Instance is changed to from 4 TB to 12 TB,,,,,,,
